Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Tina;Bauer;;;;;;;;;;
Holm;Braun;;;;;;;;;;
Ivanka;Futaferemüller;;;;;;;;;;
Hendrik;Gawebedeson;;;;;;;;;;
Hans-Rainer;Gävufo;;;;;;;;;;
Marlis;Hadefo;;;;;;;;;;
Hans-Ulrich;Hedafereson;;;;;;;;;;
Claus-Peter;Herrmann;;;;;;;;;;
Theodora;Hilubustein;;;;;;;;;;
Heiderose;Hofmann;;;;;;;;;;
Magarete;Jarilodeweiner;;;;;;;;;;
Tülay;Kiwugau;;;;;;;;;;
Bertold;Lehmann;;;;;;;;;;
Jens-Uwe;Metadomüller;;;;;;;;;;
Herma;Metuwattehein;;;;;;;;;;
Klaus-D.;Milube;;;;;;;;;;
Romuald;Nutusege;;;;;;;;;;
Pietro;Ratibuhein;;;;;;;;;;
Mandy;Vütewade;;;;;;;;;;
Edeltraud;Walter;;;;;;;;;;
Marlies;Walter;;;;;;;;;;
Magdalene;Wädomattson;;;;;;;;;;
Cosimo;Zotofomüller;;;;;;;;;;
