Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Sergio;Fivebede;;;;;;;;;;
Ehrentraud;Kaiser;;;;;;;;;;
Virginia;Kaiser;;;;;;;;;;
Sahin;Krause;;;;;;;;;;
Laura;Matofaremeiner;;;;;;;;;;
Rebekka;Nusuduweiner;;;;;;;;;;
Janett;Nälebuweiner;;;;;;;;;;
Phillip;Pileflodeson;;;;;;;;;;
Guiseppe;Schmid;;;;;;;;;;
Randolf;Toluvodestein;;;;;;;;;;
Gisela;Tüseflodemeiner;;;;;;;;;;
Cornelia;Wewusedemüller;;;;;;;;;;
Hermann;Wirubahein;;;;;;;;;;
