Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Hildburg;Bowobeweiner;;;;;;;;;;
Tilman;Cirifu;;;;;;;;;;
Urte;Cötewademüller;;;;;;;;;;
Reingard;Düduvadeson;;;;;;;;;;
Henri;Fevasede;;;;;;;;;;
Hans-Dieter;Füduflodestein;;;;;;;;;;
Helga;Galovade;;;;;;;;;;
Ina;Goroschattmeiner;;;;;;;;;;
Albertine;Hawagau;;;;;;;;;;
Insa;Hilugau;;;;;;;;;;
Alex;Jurovare;;;;;;;;;;
Lucie;Jäsisademeiner;;;;;;;;;;
Hassan;Ladogedestein;;;;;;;;;;
Andreas;Meyer;;;;;;;;;;
Paulina;Mowuvareweiner;;;;;;;;;;
Norman;Nawebuhein;;;;;;;;;;
Friedrich-Karl;Neumann;;;;;;;;;;
Karl-Ernst;Nulogrodemüller;;;;;;;;;;
Gerald;Posevadeweiner;;;;;;;;;;
Radmila;Rolusedehein;;;;;;;;;;
Pierre;Satuvoreweiner;;;;;;;;;;
Dagmar;Schwarz;;;;;;;;;;
Judith;Sidefere;;;;;;;;;;
Gitte;Tetevarestein;;;;;;;;;;
Wigbert;Vetedomeiner;;;;;;;;;;
Verena;Vurulaumüller;;;;;;;;;;
Kathy;Werner;;;;;;;;;;
Arnim;Zülifo;;;;;;;;;;
