Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Hartmut;Cötibodostein;;;;;;;;;;
Marie-Therese;Dowevoremüller;;;;;;;;;;
Gottlob;Forawade;;;;;;;;;;
Stephanie;Halivade;;;;;;;;;;
Jolanta;Hiladustein;;;;;;;;;;
Marga;Hoffmann;;;;;;;;;;
Othmar;Kosomau;;;;;;;;;;
Janett;Latihede;;;;;;;;;;
Lidwina;Miwolaumüller;;;;;;;;;;
Paul;Motosade;;;;;;;;;;
Greta;Muwufuweiner;;;;;;;;;;
Raik;Neumann;;;;;;;;;;
Bernfried;Nisawade;;;;;;;;;;
Mirjana;Notofare;;;;;;;;;;
Valentin;Nudomau;;;;;;;;;;
Gertrud;Retibi;;;;;;;;;;
Fatih;Ritagatemüller;;;;;;;;;;
Arnd;Rowufereweiner;;;;;;;;;;
Andres;Schmid;;;;;;;;;;
Bertold;Schmitz;;;;;;;;;;
Guenter;Schwarz;;;;;;;;;;
Evelyn;Surogedestein;;;;;;;;;;
Ferdinand;Tetifare;;;;;;;;;;
Samuel;Turubehein;;;;;;;;;;
Betina;Tusasade;;;;;;;;;;
Carmine;Vödevodemüller;;;;;;;;;;
Yvette;Weber;;;;;;;;;;
Deborah;Wivofomüller;;;;;;;;;;
Delia;Wolf;;;;;;;;;;
Necati;Zetevode;;;;;;;;;;
