Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Ann-Kathrin;Barolate;;;;;;;;;;
Mirko;Bosivaremüller;;;;;;;;;;
Irmi;Culamau;;;;;;;;;;
Desiree;Dalavare;;;;;;;;;;
Ludmila;Dütegrodeweiner;;;;;;;;;;
Heinz;Fedifimeiner;;;;;;;;;;
Karl-Peter;Fesomau;;;;;;;;;;
Bernd-Dieter;Fodudumüller;;;;;;;;;;
Eileen;Hirofistein;;;;;;;;;;
Margaret;Hudiwade;;;;;;;;;;
Sina;Kitibuhein;;;;;;;;;;
Ramona;Kutelauhein;;;;;;;;;;
Silja;Latesadestein;;;;;;;;;;
Joachim;Moliwattemüller;;;;;;;;;;
Sylke;Motilate;;;;;;;;;;
Ralf;Pösivodeweiner;;;;;;;;;;
Sylwia;Revafumeiner;;;;;;;;;;
Gerard;Ruwuvadeweiner;;;;;;;;;;
Damaris;Sivafledemüller;;;;;;;;;;
Mark;Toraplauweiner;;;;;;;;;;
Michaela;Towigrade;;;;;;;;;;
Gunnar;Vutafomüller;;;;;;;;;;
Anastasios;Vüwadamüller;;;;;;;;;;
Antonios;Walter;;;;;;;;;;
Claudio;Wörobodo;;;;;;;;;;
