Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Erica;Bawofo;;;;;;;;;;
Daniela;Büdafledeweiner;;;;;;;;;;
Tony;Calibemüller;;;;;;;;;;
Emmerich;Curumode;;;;;;;;;;
Birgid;Desigradeweiner;;;;;;;;;;
Mathias;Dutamodehein;;;;;;;;;;
Metin;Katavode;;;;;;;;;;
Corinna;Kevodumüller;;;;;;;;;;
Franz-Josef;Kevoplaumüller;;;;;;;;;;
Anica;Ledebiweiner;;;;;;;;;;
Gabriella;Läwusedehein;;;;;;;;;;
Adalbert;Maier;;;;;;;;;;
Mahmoud;Meier;;;;;;;;;;
Siegrun;Müller;;;;;;;;;;
Rolf-Peter;Rerowade;;;;;;;;;;
Elisabeth;Risosede;;;;;;;;;;
Arzu;Rutuwatteson;;;;;;;;;;
Esther;Rötivare;;;;;;;;;;
Andrej;Saleda;;;;;;;;;;
Silva;Södalatemeiner;;;;;;;;;;
Mathias;Vuvifostein;;;;;;;;;;
Irmhild;Vürolode;;;;;;;;;;
Brian;Wagner;;;;;;;;;;
Dragan;Welufu;;;;;;;;;;
Margarete;Zatabimüller;;;;;;;;;;
