Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Gino;Cerovare;;;;;;;;;;
Pedro;Delofo;;;;;;;;;;
Andre;Derasadeweiner;;;;;;;;;;
Yusuf;Didafuson;;;;;;;;;;
Herwig;Fuchs;;;;;;;;;;
Sigmar;Gerelau;;;;;;;;;;
Eleonora;Getobodohein;;;;;;;;;;
Raimund;Givusedestein;;;;;;;;;;
Hartmuth;Hasevore;;;;;;;;;;
Karl-Georg;Hoffmann;;;;;;;;;;
Engin;Koch;;;;;;;;;;
Marie;Kusefaremeiner;;;;;;;;;;
Ingetraut;Lasamodestein;;;;;;;;;;
Anneli;Lovogaustein;;;;;;;;;;
Rico;Lösobu;;;;;;;;;;
Juergen;Matuvareweiner;;;;;;;;;;
Rotraud;Medolateson;;;;;;;;;;
Mirko;Pawefo;;;;;;;;;;
Sükrü;Rarelau;;;;;;;;;;
Jovan;Rüvamatt;;;;;;;;;;
Laurenz;Schmid;;;;;;;;;;
Helene;Schulze;;;;;;;;;;
Lorenz;Tutobu;;;;;;;;;;
Jörn;Töresede;;;;;;;;;;
Woldemar;Valefohein;;;;;;;;;;
Franz;Vitifumeiner;;;;;;;;;;
Woldemar;Wadoplau;;;;;;;;;;
Horst-Dieter;Wavematt;;;;;;;;;;
Kordula;Werner;;;;;;;;;;
Arndt;Zavavare;;;;;;;;;;
