Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Petros;Bawischattmüller;;;;;;;;;;
Gaetano;Catulauson;;;;;;;;;;
Wilfriede;Cötulatemüller;;;;;;;;;;
James;Dasibemüller;;;;;;;;;;
Guido;Dilelauson;;;;;;;;;;
Elise;Felulodemüller;;;;;;;;;;
Eberhard;Fewulodeson;;;;;;;;;;
Dierk;Föwiplaumüller;;;;;;;;;;
Sieglinde;Gitesege;;;;;;;;;;
Theodora;Gurifimeiner;;;;;;;;;;
Aleksander;Hewisade;;;;;;;;;;
Arnfried;Hötubodoson;;;;;;;;;;
Tobias;Julafereweiner;;;;;;;;;;
Norbert;Krüger;;;;;;;;;;
Pietro;Lehmann;;;;;;;;;;
Bianka;Lelimattmeiner;;;;;;;;;;
Jasmin;Maier;;;;;;;;;;
Frieda;Meier;;;;;;;;;;
Jenny;Mevudason;;;;;;;;;;
Arnd;Neumann;;;;;;;;;;
Claire;Nitifo;;;;;;;;;;
Gerlind;Nädemau;;;;;;;;;;
Jose;Resamatt;;;;;;;;;;
Yasmin;Richter;;;;;;;;;;
Marijan;Rolebodomüller;;;;;;;;;;
Luisa;Tivewadeson;;;;;;;;;;
Petra;Vatilate;;;;;;;;;;
Viola;Ziteflode;;;;;;;;;;
Fredi;Zosubimeiner;;;;;;;;;;
