Vorname;Name;Sprint Bestes Ergebnis;Sprint Punkte;Lauf Bestes Ergebnis;Lauf Punkte;Weitsprung Bestes Ergebnis;Weitsprung Punkte;Wurf/Stoss Bestes Ergebnis;Wurf/Stoss Punkte;Gesamtpunktzahl;Urkunde
Fabian;Bulebedehein;;;;;;;;;;
Tino;Cerefoson;;;;;;;;;;
Zenta;Cirogede;;;;;;;;;;
Ester;Galabiweiner;;;;;;;;;;
Songül;Giwobaweiner;;;;;;;;;;
Diedrich;Gärevoremüller;;;;;;;;;;
Emmi;Güteflodeweiner;;;;;;;;;;
Siegried;Hotafumüller;;;;;;;;;;
Luzie;Husasadeson;;;;;;;;;;
Gülsen;Jalomatt;;;;;;;;;;
Gundula;Jorusadehein;;;;;;;;;;
Juan;Klein;;;;;;;;;;
Thorben;Kätavaremüller;;;;;;;;;;
Maya;Köhler;;;;;;;;;;
Renato;Luvosegestein;;;;;;;;;;
Ingbert;Lösefu;;;;;;;;;;
Christiane;Lütogate;;;;;;;;;;
Philomena;Mayer;;;;;;;;;;
Ferdinand;Pöwumode;;;;;;;;;;
Heidelore;Sarabu;;;;;;;;;;
Katja;Schmidt;;;;;;;;;;
Ernestine;Schulze;;;;;;;;;;
Andy;Tirebede;;;;;;;;;;
Heidemarie;Tusodustein;;;;;;;;;;
Amalie;Tädagedeson;;;;;;;;;;
Alexander;Werner;;;;;;;;;;
Konstantin;Zövibede;;;;;;;;;;
